TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
S15-19-2014,S12-216-2009,S12-216-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,,,,,
S15-20-2008,S12-30-2005,S12-30-2009,S12-30-2011,S2-10-2007,S2-10-2010,S2-10-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-216-2009,S12-216-2011,,,,,,,
S15-20-2010,S12-30-2005,S12-30-2009,S12-30-2011,S2-10-2007,S2-10-2010,S2-10-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-216-2009,S12-216-2011,,,,,,,
S15-20-2012,S12-30-2005,S12-30-2009,S12-30-2011,S2-10-2007,S2-10-2010,S2-10-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-216-2009,S12-216-2011,,,,,,,
S15-20-2014,S12-107-2005,S12-107-2009,S12-107-2011,S2-245-2007,S2-245-2010,S2-245-2012,S6-34-2008,S6-34-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,,,
S12-103-2009,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,,,,,,,,,,,,,
S12-103-2011,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,,,,,,,,,,,,,
S12-103-2013,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,,,,,,,,,,,,,
S12-105-2009,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,,,,,,,,,,,,,
S12-105-2011,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,,,,
S12-105-2013,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,,,,
S12-107-2013,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,,,,
S12-108-2005,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,,,,
S12-108-2009,S6-34-2008,S6-34-2010,S7-13-2008,S7-13-2010,S7-13-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,,,,,,,,,,,
S12-108-2011,S6-34-2008,S6-34-2010,S7-13-2008,S7-13-2010,S7-13-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,,,,,,,,,,,
S12-108-2013,S6-34-2008,S6-34-2010,S7-13-2008,S7-13-2010,S7-13-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,,,,,,,,,,,
S12-113-2005,S6-34-2008,S6-34-2010,S7-13-2008,S7-13-2010,S7-13-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,,,,,,,,,,,
S12-113-2009,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,,,,,,,,
S12-113-2011,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,,,,,,,,
S12-113-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,,,,,,,,
S12-131-2005,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,,,,,,,,
S12-131-2009,S12-151-2005,S12-151-2009,S12-151-2011,S2-21-2007,S2-21-2010,S12-216-2009,S12-216-2011,,,,,,,,,,,,,
S12-131-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S2-245-2007,S2-245-2010,S2-245-2012,,,,,,,
S12-131-2013,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S2-245-2007,S2-245-2010,S2-245-2012,,,,,,,
S12-144-2005,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S2-245-2007,S2-245-2010,S2-245-2012,,,,,,,
S12-144-2009,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S2-245-2007,S2-245-2010,S2-245-2012,,,,,,,
S12-144-2011,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-144-2013,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-151-2013,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-152-2005,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-152-2009,S12-216-2009,S12-216-2011,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S12-151-2005,S12-151-2009,S12-151-2011,S2-21-2007,S2-21-2010,,,,,,,,,
S12-152-2011,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-152-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-205-2007,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-205-2008,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-205-2009,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-205-2013,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-216-2013,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-255-2009,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,
S12-255-2011,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-255-2013,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2009,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2011,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-281-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-30-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-314-2005,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-314-2009,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-314-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-314-2013,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-347-2005,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-347-2009,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-347-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-347-2013,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-196-2007,S2-196-2010,S2-196-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S6-34-2008,S6-34-2010,,,,,,
S12-349-2005,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-196-2007,S2-196-2010,S2-196-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S6-34-2008,S6-34-2010,,,,,,
S12-349-2007,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-196-2007,S2-196-2010,S2-196-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S6-34-2008,S6-34-2010,,,,,,
S12-349-2008,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-196-2007,S2-196-2010,S2-196-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S6-34-2008,S6-34-2010,,,,,,
S12-349-2009,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S12-107-2005,S12-107-2009,S12-107-2011,,,,,,,,,
S12-349-2011,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S12-107-2005,S12-107-2009,S12-107-2011,,,,,,,,,
S12-349-2013,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S12-107-2005,S12-107-2009,S12-107-2011,,,,,,,,,
S12-378-2005,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S12-107-2005,S12-107-2009,S12-107-2011,,,,,,,,,
S12-381-2005,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S12-30-2005,S12-30-2009,S12-30-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,
S12-381-2009,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S12-30-2005,S12-30-2009,S12-30-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,
S12-381-2011,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S12-30-2005,S12-30-2009,S12-30-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,
S12-381-2013,S2-196-2007,S2-196-2010,S2-196-2012,S2-10-2007,S2-10-2010,S2-10-2012,S2-245-2007,S2-245-2010,S2-245-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,
S12-38-2005,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,
S12-38-2009,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S6-34-2008,S6-34-2010,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,
S12-38-2011,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S6-34-2008,S6-34-2010,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,
S12-38-2013,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,S6-34-2008,S6-34-2010,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,
S12-40-2013,S2-196-2007,S2-196-2010,S2-196-2012,S2-10-2007,S2-10-2010,S2-10-2012,S2-245-2007,S2-245-2010,S2-245-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,
S12-431-2009,S2-196-2007,S2-196-2010,S2-196-2012,S2-10-2007,S2-10-2010,S2-10-2012,S2-245-2007,S2-245-2010,S2-245-2012,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,,,,,,
S12-431-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S2-243-2007,S2-243-2010,S2-243-2012,S2-42-2007,S2-42-2010,S2-42-2012,S2-196-2007,S2-196-2010,S2-196-2012,S2-57-2007,S2-57-2010,S2-57-2012,S12-30-2005,S12-30-2009,S12-30-2011
S12-431-2013,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-435-2009,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-435-2011,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-435-2013,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-437-2009,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-437-2011,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-437-2013,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S12-63-2013,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-3-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-3-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-3-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-3-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-5-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-5-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-5-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S13-5-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S14-2-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S14-2-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S14-2-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S14-2-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
