Station,Year,Referencesites
APB-19,2008,0
APB-19,2010,0
APB-19,2012,0
APB-19,2014,0
APB-5,2008,0
APB-5,2010,0
APB-5,2012,0
APB-5,2014,0
BRO-10,2007,1
BRO-10,2010,1
BRO-10,2012,1
BRO-10,2014,0
BRO-118,2007,0
BRO-118,2010,0
BRO-118,2014,0
BRO-119,2010,0
BRO-119,2012,0
BRO-119,2014,0
BRO-129,2007,1
BRO-129,2010,1
BRO-129,2012,1
BRO-129,2014,0
BRO-135,2007,0
BRO-135,2010,0
BRO-135,2012,0
BRO-135,2014,0
BRO-142,2007,0
BRO-142,2010,0
BRO-142,2012,0
BRO-142,2014,0
BRO-149,2007,0
BRO-149,2010,0
BRO-149,2012,0
BRO-149,2014,0
BRO-151,2007,0
BRO-151,2010,0
BRO-151,2012,0
BRO-151,2014,0
BRO-154,2007,0
BRO-154,2008,0
BRO-154,2010,0
BRO-154,2012,0
BRO-154,2014,0
BRO-16,2007,1
BRO-16,2008,1
BRO-16,2010,1
BRO-16,2012,1
BRO-16,2014,0
BRO-171,2007,0
BRO-171,2010,0
BRO-171,2012,0
BRO-171,2014,0
BRO-172,2007,1
BRO-172,2010,1
BRO-172,2012,1
BRO-172,2014,0
BRO-196,2007,1
BRO-196,2010,1
BRO-196,2012,1
BRO-196,2014,0
BRO-197,2007,0
BRO-197,2010,0
BRO-209,2007,0
BRO-209,2010,0
BRO-209,2012,0
BRO-209,2014,0
BRO-21,2007,1
BRO-21,2010,1
BRO-21,2014,0
BRO-219,2007,0
BRO-219,2010,0
BRO-219,2012,0
BRO-219,2014,0
BRO-22,2007,0
BRO-22,2012,0
BRO-22,2014,0
BRO-225,2007,0
BRO-225,2010,0
BRO-225,2012,0
BRO-225,2014,0
BRO-238,2007,0
BRO-238,2014,0
BRO-243,2007,1
BRO-243,2010,1
BRO-243,2012,1
BRO-243,2014,0
BRO-245,2007,1
BRO-245,2010,1
BRO-245,2012,1
BRO-245,2014,0
BRO-284,2007,0
BRO-284,2010,0
BRO-284,2012,0
BRO-284,2014,0
BRO-334,2010,0
BRO-334,2012,0
BRO-334,2014,0
BRO-42,2007,1
BRO-42,2010,1
BRO-42,2012,1
BRO-42,2014,0
BRO-57,2007,1
BRO-57,2010,1
BRO-57,2012,1
BRO-57,2014,0
BRO-8,2007,0
BRO-8,2008,0
BRO-8,2010,0
BRO-8,2014,0
FAL-6,2008,0
FAL-6,2010,0
FAL-6,2012,0
FAL-6,2014,0
FOR-12,2008,0
FOR-12,2010,0
FOR-12,2012,0
FOR-12,2014,0
FOR-2,2007,1
FOR-2,2008,1
FOR-2,2010,1
FOR-2,2012,1
FOR-2,2014,0
FOR-7,2008,0
FOR-7,2010,0
FOR-7,2014,0
FOR-71,2008,0
FOR-71,2010,0
FOR-71,2012,0
FOR-71,2014,0
GRN-101,2007,0
GRN-101,2008,0
GRN-101,2009,0
GRN-101,2011,0
GRN-101,2013,0
GRN-16,2006,0
GRN-16,2011,0
GRN-16,2013,0
GRN-19,2006,0
GRN-20,2006,0
GRN-20,2009,0
GRN-20,2011,0
GRN-20,2013,0
GRN-27,2007,0
GRN-27,2008,0
GRN-27,2009,0
GRN-27,2011,0
GRN-27,2013,0
GRN-28,2006,1
GRN-28,2009,1
GRN-28,2011,1
GRN-28,2013,0
GRN-47,2006,0
GRN-47,2009,0
GRN-47,2011,0
GRN-47,2013,0
GRN-50,2006,0
GRN-50,2011,0
GRN-50,2013,0
GRN-65,2006,0
GRN-65,2009,0
GRN-65,2011,0
GRN-65,2013,0
GRN-66,2006,0
GRN-66,2009,0
GRN-66,2011,0
GRN-66,2013,0
GRN-7,2006,0
GRN-7,2009,0
GRN-7,2011,0
GRN-7,2013,0
GRN-73,2006,0
GRN-73,2009,0
GRN-73,2011,0
GRN-73,2013,0
JOS-1,2008,0
JOS-1,2010,0
JOS-1,2012,0
JOS-1,2014,0
JOS-25,2008,1
JOS-25,2010,1
JOS-25,2012,1
JOS-25,2014,0
JOS-34,2008,1
JOS-34,2010,1
JOS-34,2012,0
MCR-13,2008,1
MCR-13,2010,1
MCR-13,2012,1
MCR-13,2014,0
MCR-14,2008,0
MCR-14,2010,0
MCR-14,2012,0
MCR-14,2014,0
MOR-2,2008,0
MOR-2,2010,0
MOR-2,2012,0
MOR-2,2014,0
NDN-14,2008,0
NDN-3,2008,0
NDN-3,2010,0
NDN-3,2012,0
NDN-3,2014,0
NDN-32,2008,0
NDN-32,2010,0
NDN-32,2012,0
NDN-33,2008,0
NDN-33,2010,0
NDN-33,2012,0
NDN-33,2014,0
ROS-6,2008,0
ROS-6,2010,0
ROS-6,2012,0
SHL-48,2007,0
SHL-48,2008,0
SHL-48,2010,0
SHL-48,2012,0
SHL-48,2014,0
SHL-49,2008,1
SHL-49,2010,1
SHL-49,2012,1
SHL-49,2014,1
SHL-50,2008,0
SHL-50,2010,0
SHL-50,2012,0
SHL-50,2014,0
SHR-19,2008,0
SHR-19,2010,0
SHR-19,2012,0
SHR-19,2014,0
SHR-20,2008,0
SHR-20,2010,0
SHR-20,2012,0
SHR-20,2014,0
SXM-103,2009,0
SXM-103,2011,0
SXM-103,2013,0
SXM-105,2009,0
SXM-105,2011,0
SXM-105,2013,0
SXM-107,2005,1
SXM-107,2009,1
SXM-107,2011,1
SXM-107,2013,0
SXM-108,2005,0
SXM-108,2009,0
SXM-108,2011,0
SXM-108,2013,0
SXM-113,2005,0
SXM-113,2009,0
SXM-113,2011,0
SXM-113,2013,0
SXM-131,2005,0
SXM-131,2009,0
SXM-131,2011,0
SXM-131,2013,0
SXM-144,2005,0
SXM-144,2009,0
SXM-144,2011,0
SXM-144,2013,0
SXM-151,2005,1
SXM-151,2009,1
SXM-151,2011,1
SXM-151,2013,0
SXM-152,2005,0
SXM-152,2009,0
SXM-152,2011,0
SXM-152,2013,0
SXM-205,2007,0
SXM-205,2008,0
SXM-205,2009,0
SXM-205,2013,0
SXM-216,2009,1
SXM-216,2011,1
SXM-216,2013,0
SXM-255,2009,0
SXM-255,2011,0
SXM-255,2013,0
SXM-281,2009,0
SXM-281,2011,0
SXM-281,2012,0
SXM-281,2013,0
SXM-30,2005,1
SXM-30,2009,1
SXM-30,2011,1
SXM-30,2013,0
SXM-314,2005,0
SXM-314,2009,0
SXM-314,2011,0
SXM-314,2013,0
SXM-347,2005,0
SXM-347,2009,0
SXM-347,2011,0
SXM-347,2013,0
SXM-349,2005,0
SXM-349,2007,0
SXM-349,2008,0
SXM-349,2009,0
SXM-349,2011,0
SXM-349,2013,0
SXM-378,2005,0
SXM-38,2005,0
SXM-38,2009,0
SXM-38,2011,0
SXM-38,2013,0
SXM-381,2005,0
SXM-381,2009,0
SXM-381,2011,0
SXM-381,2013,0
SXM-40,2005,1
SXM-40,2009,1
SXM-40,2011,1
SXM-40,2013,0
SXM-431,2009,0
SXM-431,2011,0
SXM-431,2013,0
SXM-435,2009,0
SXM-435,2011,0
SXM-435,2013,0
SXM-437,2009,0
SXM-437,2011,0
SXM-437,2013,0
SXM-63,2005,1
SXM-63,2007,1
SXM-63,2008,1
SXM-63,2009,1
SXM-63,2011,1
SXM-63,2013,0
TUK-3,2008,0
TUK-3,2010,0
TUK-3,2012,0
TUK-3,2014,0
TUK-5,2008,0
TUK-5,2010,0
TUK-5,2012,0
TUK-5,2014,0
WDG-2,2008,0
WDG-2,2010,0
WDG-2,2012,0
WDG-2,2014,0
